"year","AW","AG","AE","AF","DZ","AZ","AL","AM","AD","AO","AS","AR","AU","AT","AI","BH","BB","BW","BM","BE","BS","BD","BZ","BA","BO","MM","BJ","BY","SB","BR","BT","BG","BN","BI","CA","KH","TD","LK","CG","CD","CN","CL","KY","CM","KM","CO","MP","CR","CF","CU","CV","CK","CY","DK","DJ","DM","DO","EC","EG","IE","GQ","EE","ER","SV","ET","CZ","FI","FJ","FM","FO","PF","FR","GM","GA","GE","GH","GI","GD","GG","GL","DE","GU","GR","GT","GN","GY","PS","HT","HK","HN","HR","HU","IS","ID","IM","IN","IR","IL","IT","CI","IQ","JP","JE","JM","JO","KE","KG","KP","KI","KR","KW","NA","KZ","LA","LB","LV","LT","LR","SK","LI","LS","LU","LY","MG","MO","MD","MN","MS","MW","ME","MK","ML","MC","MA","MU","MR","MT","OM","MV","MX","MY","MZ","NC","NE","VU","NG","NL","SX","NO","NP","NR","SR","NI","NZ","PY","PE","PK","PL","PA","PT","PG","PW","GW","QA","RS","MH","MF","RO","PH","PR","RU","RW","SA","PM","KN","SC","ZA","SN","SH","SI","SL","SM","SG","SO","ES","LC","SD","SE","SY","CH","BL","TT","TH","TJ","TC","TO","TG","ST","TN","TL","TR","TV","TW","TM","TZ","CW","UG","GB","UA","US","BF","UY","UZ","VC","VE","VG","VN","VI","NA.1","WF","EH","WS","SZ","YE","ZM","ZW"
2002,92170,77935,3558098,23600088,31523711,8597653,3098028,3013818,65986,13364900,57395,37999450,19534938,8148312,12113,714831,276218,1746177,64182,10311970,288579,136869840,261298,3826637,8542488,48715746,7064487,9954884,458223,179204829,625943,7661799,339989,7286793,31640962,12729204,8436193,19478732,3330421,55701642,1277594720,15514805,40804,16094435,574470,39804949,74372,4020945,4128418,11131594,446704,15147,946814,5374693,716351,71534,8756901,12827279,68023124,3933126,520764,1360122,4505426,5901830,68167888,10256295,5193039,816669,108034,47349,244185,61963618,1430711,1300423,4728357,19778785,28201,102835,62370,57363,82458415,157061,10603863,11506669,8520304,782726,3300591,8723188,6762476,6693687,4481020,10112777,288030,220276027,77190,1040284824,70283737,6369540,58076703,17687648,24004047,127371380,87970,2664984,4902055,32313484,5013962,23165025,88264,47437276,2083305,1737479,15802133,5578027,3835463,2340205,3633232,2753037,5410052,33821,1925636,450786,5245124,16638898,438977,4088890,2744553,4810,12460086,720230,2030445,11446961,31654,28838895,1209590,2631845,393515,2541078,311855,102479927,24282607,18801884,219443,11490858,201729,130863001,16145467,30636,4535591,25815050,9916,480008,5035653,3898456,5626892,26479981,160269228,38625976,3003421,10433867,5062602,19821,1333120,703387,7544319,55163,27450,22365752,84936406,3823701,145529792,8857375,22274039,6332,46685,81125,46076953,9972439,7335,2011497,4286828,28191,4281211,8016757,41639614,155297,28160329,8954175,17299818,7348652,7411,1245844,62856945,6452011,21406,101452,5277933,147133,9710221,912063,69479044,10039,22461928,4502617,35226778,131711,24391047,59601520,48056819,287625193,12584957,3241594,25696313,107262,24191766,23857,81257964,108208,1960672,14856,367389,179429,1193707,18546203,10558408,11866017
2003,93716,79066,3731700,25005388,31975415,8662912,3069665,3001712,68782,13815757,57180,38336881,19766540,8162656,12448,781004,277547,1777092,64761,10330824,291347,139305030,267958,3842733,8719064,49344682,7293710,9904905,470654,181553173,635757,7588399,347260,7552647,31889309,12920705,8745740,19708717,3414253,57303278,1284303316,15675163,41985,16489008,590061,40351016,76617,4083816,4214915,11167179,454825,14602,964652,5394138,690777,71734,8896576,13074181,69501860,4002170,535927,1350722,4700022,5919845,70174826,10251087,5204405,823178,108109,47954,247754,62311901,1468917,1332623,4710921,20211370,28321,103320,62599,57541,82504552,157579,10625945,11725208,8755538,779809,3398004,8883665,6809738,6862050,4497779,10091987,291064,223347627,77958,1057251124,70811828,6491919,58336021,18068004,24685179,127552251,88087,2689150,5013775,33244826,5059349,23330469,89701,47656631,2139818,1747530,15882506,5654002,3855482,2322943,3620094,2769683,5416406,34206,1926345,456764,5353270,17123055,444177,4040951,2784084,4491,12796797,713614,2035145,11794333,31460,29197060,1221004,2699242,395178,2593790,318490,103718062,24880396,19215334,223689,11901375,207030,134450818,16216609,31644,4555400,26275378,9926,488131,5116137,3960281,5728549,26809346,163165640,38602853,3053605,10479955,5188113,19984,1359917,735643,7535230,56448,27363,22304678,86751693,3826095,144737284,9098466,22742890,6290,47139,82049,46566626,10240144,7386,2011604,4465683,28733,4390624,8271771,42321028,156008,28723273,8970306,17715351,7384538,7501,1242426,63324000,6567848,22920,102089,5424964,150508,9811647,955968,70548635,10060,22561453,4556130,36306711,133200,25200119,59823619,47667080,290107933,13065394,3250653,25992144,106882,24545434,24485,82296588,108085,1983430,14952,383404,181088,1216439,19134114,10819896,11815518
2004,95461,80193,3907949,25697635,32450849,8737809,3045640,2991360,73247,14315255,57094,38741833,19995075,8174762,12782,848123,278818,1807832,65337,10348276,294064,141734400,274620,3876893,8895965,49962203,7526831,9855646,483173,183827544,645415,7517973,354305,7858726,32134763,13109935,9097655,19933590,3503742,58942550,1291001804,15828678,43163,16872750,606260,40922152,78889,4146696,4288752,11195182,462795,14086,987191,5413392,657413,71933,9032393,13368398,71009467,4091162,551415,1341664,4907337,5935121,72238990,10246178,5214512,829822,108126,48290,250797,62678427,1508001,1364412,4693892,20650251,28407,103969,62859,57702,82487209,158024,10647529,11939986,8971979,779479,3497177,9045691,6855125,7029439,4496869,10072608,293966,226403092,78744,1074159021,71439502,6617728,58716002,18504380,25376251,127693749,88171,2713001,5128263,34223442,5113537,23476730,91122,47853847,2197285,1757142,15988619,5746043,3874493,2306306,3607899,2795940,5423567,34574,1924895,462690,5461632,17621089,455227,3994611,2824567,4963,13140138,706577,2040085,12154226,31268,29551507,1232059,2767954,396851,2645614,326599,104959594,25475465,19637084,228022,12331681,212405,138138177,16266338,32771,4574560,26708316,9969,495897,5193390,4008166,5828163,27129674,166223613,38580445,3104177,10524145,5313886,20163,1386926,825447,7522560,57760,27514,22247630,88621786,3826878,144000047,9361254,23200040,6246,47529,82970,47032866,10519120,7434,2011473,4602202,29212,4498226,8536641,43000157,156657,29297470,8986400,18136820,7417342,7557,1239328,63783954,6688433,24951,102703,5578206,153970,9913681,971458,71613543,10114,22646408,4608471,37382426,134602,26046980,60126953,47305388,292805298,13478093,3258465,26268097,106479,24904615,25140,83352452,107950,2006646,15034,399736,182772,1237945,19733825,11088247,11735046
2005,96976,81277,4086602,26334702,32917567,8825439,3024533,2982904,76122,14769556,56953,39181261,20232346,8184691,13116,915966,280037,1840116,65910,10364388,296708,144138736,281289,3893097,9072944,50572091,7777709,9806452,495751,186020004,654897,7450349,361110,8161938,32386378,13297399,9400658,20102989,3604002,60698054,1297765318,15979150,44340,17261467,623059,41487778,70636,4208691,4363038,11198439,470597,13597,1010740,5432335,666400,72125,9164472,13662318,72543509,4199185,567232,1332893,5069562,5956221,74354300,10241138,5223442,836558,108082,48307,253764,63059742,1547905,1395690,4677401,21106982,28464,104592,63133,57780,82439417,158398,10668354,12182548,9153730,776497,3597847,9204669,6898686,7193065,4495904,10057624,296737,229244745,79590,1090973030,72282713,6742915,59037808,18920502,26076088,127715356,88491,2736513,5245404,35246309,5164248,23620923,92587,48005157,2256657,1767302,16122665,5836357,3892388,2290237,3596617,2930083,5431363,34880,1922116,468571,5570030,18131781,474027,3948261,2865994,4530,13492114,699259,2045262,12527225,31100,29900959,1242821,2837937,398534,2696889,336248,106202903,25968120,20068619,232397,12782094,217849,141851802,16299097,33674,4593041,27093869,10014,503639,5267146,4048224,5925541,27442387,169278640,38557984,3155032,10566212,5439769,20324,1414159,972530,7502197,59096,27906,22197164,90435785,3821362,143319518,9611065,23642207,6199,47904,83886,47483447,10804122,7479,2011070,4708054,29605,4605741,8790161,43704367,157371,29883145,9001774,18562670,7448224,7582,1236690,64235279,6814791,27590,103296,5714516,157514,10012905,984203,72673810,10167,22727551,4664155,38486138,136029,26916576,60487347,46959420,295516599,13903886,3264911,26539888,106070,25269177,25869,84424930,107863,2028356,15094,415400,184491,1258977,20344667,11372462,11639470
2006,98496,82343,4265914,27154386,33420968,8919169,3005779,2976372,78294,15202271,56652,39614434,20489472,8192880,13450,984393,281207,1875778,66436,10379067,299288,146517110,287953,3894410,9249710,51161672,8031708,9763712,508382,188131059,664205,7385367,367819,8464511,32656679,13498711,9648955,20311049,3704056,62522207,1304261885,16130386,45517,17657856,640080,42046246,60665,4269766,4448948,11179829,478309,13132,1031030,5450661,679141,72247,9295039,13917057,74100591,4309024,583355,1324333,5214330,5970893,76535275,10235455,5231372,843945,107986,48322,256802,63456871,1588501,1426392,4661473,21583020,28535,105202,63433,57638,82346364,158711,10688058,12454747,9345729,770214,3699931,9357561,6940432,7355157,4494749,10046269,299388,232199251,80472,1107624346,73184402,6866876,59272880,19326799,26784179,127727574,89245,2759614,5617215,36316148,5212766,23764383,94056,48123561,2316880,1776700,16283721,5930788,3851099,2274735,3585906,3107606,5439448,35164,1919198,474413,5678213,18653420,499427,3901080,2908403,4625,13855681,691871,2050554,12912491,30951,30247772,1253425,2909101,400214,2748203,348119,107449525,26432158,20511666,236513,13253323,223329,145627517,16320437,34559,4610820,27458953,9565,511895,5338287,4089964,6020467,27749145,172381868,38536869,3206481,10605870,5565559,20466,1442747,1119914,7476102,60451,28414,22150478,92266941,3805214,142735754,9857219,24073195,6150,48280,84798,47925669,11096111,7522,2010347,4817621,29953,4713561,9008585,44431750,158128,30480529,9016596,19322687,7478651,7575,1234559,64677487,6944062,30583,103871,5865402,161114,10111973,999588,73726124,10222,22817266,4719514,39618057,137544,27810686,60846809,46620334,298379912,14343529,3271307,26810463,105685,25641462,26675,85470535,107700,2049149,15144,430317,186252,1279797,20964522,11678306,11544326
2007,100018,83425,4444011,27387083,34002400,9015038,2991575,2971650,80757,15651757,56348,40048816,20749625,8199783,13781,1053582,282359,1913422,66921,10392226,301972,148893738,294610,3891845,9425936,51755836,8278158,9733327,521065,190167417,673353,7322858,374577,8782936,32935961,13718693,9885661,20507595,3802332,64355014,1310583544,16283043,46690,18060382,656937,42597321,59305,4331130,4543731,11160137,485994,12691,1048906,5468120,694379,72377,9426233,14134956,75676539,4419984,599763,1315912,5357676,5981752,78799447,10228744,5238460,852114,107848,48489,259838,63852860,1629648,1456451,4646003,22068569,28610,105887,63744,57527,82236860,158967,10706290,12728111,9569216,763809,3803368,9500493,6980412,7516214,4493312,10034228,301931,235098987,81347,1124134801,74093270,6990062,59626720,19746949,27500156,127779038,90452,2782221,5997193,37408875,5255561,23907668,95479,48250148,2375798,1785477,16459828,6035414,3895559,2259810,3575439,3269937,5447502,35390,1916857,480222,5786146,19185672,525531,3855442,2951786,4512,14232793,684736,2055915,13309212,30834,30594445,1263899,2981452,401880,2800283,364968,108700891,26895559,20968820,240454,13740434,228815,149487908,16351022,35431,4627926,27827891,9115,520925,5407784,4132341,6112995,28049728,175495078,38518241,3258329,10642836,5691088,20591,1472780,1268260,7447093,61815,28905,22106151,94157465,3782995,142441276,10141078,24498521,6100,48657,85702,48367131,11394298,7563,2009245,4918325,30349,4821918,9238111,45211636,158875,31089855,9031088,20487722,7529531,7540,1232811,65109894,7076598,33911,104407,6042377,164749,10212857,1017550,74767836,10279,22909368,4774232,40787957,139025,28710199,61249260,46299862,301231207,14797172,3278878,27079266,105307,26023528,27460,86518851,107423,2069028,15189,445397,187956,1299910,21591041,12000691,11443187
2008,101541,84522,4621399,27705724,34619419,9111089,2984121,2968586,82627,16102061,56046,40481998,21007310,8205533,14110,1107292,283498,1952048,67387,10403951,304727,151289991,301270,3888949,9601257,52228150,8532547,9712053,533776,192130270,682321,7262675,381371,9139314,33212696,13957013,10111337,20697509,3905010,66187146,1317065677,16441033,47862,18467692,673599,43141109,57569,4393241,4641320,11134892,493619,12271,1066817,5484723,709196,72514,9558183,14354469,77266685,4517706,616459,1307605,5502026,6006449,81135648,10220911,5244749,860535,107665,48668,262881,64220250,1671296,1485832,4630841,22554470,28708,106555,64096,57564,82065368,159169,10722816,13002206,9806509,758059,3907883,9639078,7018636,7675849,4491543,10020481,304367,237938809,82201,1140566211,75025356,7112359,60091306,20179602,28221435,127787736,91629,2804332,6132625,38540806,5298689,24050643,96858,48379392,2433192,1794984,16649642,6145183,4038024,2245423,3565205,3440371,5455407,35600,1915469,486006,5894108,19728709,545674,3811763,2996081,5082,14623681,678177,2061315,13718832,30734,30940455,1274189,3054933,403532,2853884,385925,109955400,27357758,21439234,244447,14238664,234300,153433398,16410055,36233,4644457,28196960,9162,529824,5475502,4173460,6203197,28347879,178479391,38500696,3309679,10676910,5816233,20701,1503182,1417957,7413882,63174,29376,22060808,96061683,3760866,142393151,10440771,24917413,6049,49064,86595,48782755,11698343,7601,2007711,5022995,30749,4930613,9454759,45910365,159585,31732535,9045389,21324857,7610995,7492,1231323,65531043,7211884,37617,104881,6220348,168415,10315836,1038161,75793836,10339,22987017,4829332,41967410,140499,29598626,61642600,45994287,304093966,15264735,3286372,27345026,104938,26414815,28176,87558363,107091,2088669,15237,460632,189503,1319101,22222846,12337728,11350111
2009,103065,85632,4798491,28483631,35268128,9206777,2982540,2967004,83888,16565528,55751,40913584,21262641,8210281,14438,1144365,284589,1990876,67835,10414336,307552,153700334,307899,3886938,9775246,52826121,8791832,9696333,546494,194019058,691141,7204687,388190,9511330,33487208,14206230,10329208,20879197,4012809,68015710,1323591583,16601954,49035,18879301,690013,43677372,55475,4455046,4741916,11109721,501182,11870,1084748,5500510,724622,72660,9690787,14573101,78866635,4579996,633441,1299371,5647168,6030596,83548430,10211904,5250275,868498,107434,48856,265923,64579931,1713278,1514993,4615807,23051965,28796,107199,64454,57600,81837700,159323,10737428,13276517,10057975,752940,4013126,9777973,7055071,7833696,4489409,10007168,306694,240714694,83039,1156897766,75967610,7233701,60461585,20617068,28945569,127704286,92528,2825928,6269285,39707699,5358180,24190924,98193,48508972,2489004,1804838,16863280,6256865,4099315,2231503,3555179,3583392,5463046,35856,1916134,491775,6002252,20282443,559846,3770698,3041142,5098,15028757,672180,2066718,14144020,30652,31285174,1284264,3129486,405165,2909634,396334,111211789,27817866,21921697,248406,14748785,239779,157473376,16490410,37099,4660539,28563377,9213,538125,5541165,4213418,6290878,28647373,181457277,38482919,3360474,10707924,5940775,20796,1533964,1568525,7379339,64522,29820,22011818,97976603,3740410,142461491,10746311,25328871,5996,49480,87476,49052489,12008068,7637,2005692,5132138,31120,5035897,9613212,46295240,160267,32426590,9059651,21762978,7693227,7448,1229953,65939911,7349145,40983,105289,6405008,172103,10420551,1061527,76805524,10404,23065096,4884887,43094715,141987,30520924,61996848,45700395,306771529,15746232,3293765,27606007,104574,26814843,28895,88576758,106707,2108665,15289,476008,190897,1337186,22858238,12678115,11392629
2010,104589,86754,4975593,29120727,35949869,9301673,2986952,2966802,84525,17042872,55467,41343201,21515754,8214160,14766,1180080,285653,2029307,68265,10423493,310426,156118464,314522,3884899,9947418,53414374,9056010,9680068,559198,195834188,699847,7148785,395027,9863117,33759742,14453680,10543464,21083826,4125916,69851289,1330141295,16759904,50209,19294149,706122,44205293,53517,4516220,4844927,11098415,508659,11488,1102677,5515575,740528,72813,9823821,14790608,80471869,4622917,650702,1291170,5792984,6052064,86042927,10201707,5255068,875983,107154,49057,268824,64940833,1755456,1545255,4600825,23571204,28877,107818,64775,57637,81644454,159434,10749943,13550440,10324025,748486,4119083,9648924,7089705,7989415,4486881,9992339,308910,243422739,83859,1173108018,76923300,7353985,60748965,21058798,29671605,127579145,93363,2847232,6407085,40843138,5410468,24325701,99482,48636068,2543172,1815048,17084817,6368162,4125247,2217969,3545319,3685076,5470306,36137,1919552,497538,6110364,20846615,567957,3731799,3086918,5118,15447500,666730,2072086,14582605,30586,31627428,1294104,3205060,406771,2967717,395650,112468855,28274729,22417453,252352,15270018,245253,161604744,16573840,37885,4676305,28951852,9267,545859,5604452,4252277,6375830,28947973,184404791,38463689,3410676,10735765,6064515,20879,1565126,1719473,7344847,65859,30235,21959278,99900177,3721978,142526896,11055976,25731776,5943,49898,88340,49109107,12323252,7670,2003136,5245695,31477,5140105,9767889,46505963,160922,32996691,9074055,22198110,7769856,7406,1228691,66336258,7487489,43212,105632,6587239,175808,10525041,1087669,77804122,10472,23126580,4940916,44288197,143405,31507228,62348447,45415596,309330219,16241811,3301076,27865738,104217,27223228,29640,89571130,106267,2128471,15343,491519,192001,1354051,23495361,13041876,11651858
2011,106113,87884,5148664,29757566,36654293,9397279,2994667,2967975,84825,17544728,55198,41769726,21766711,8217280,15094,1214705,286705,2065398,68679,10431477,313312,158570535,321115,3882359,10118683,53999804,9325032,9661508,571890,197595498,708427,7093635,401890,10216190,34030589,14701717,10758945,21283913,4243929,71712867,1336718015,16915020,51384,19711291,721886,44725543,52167,4576562,4950027,11087330,516100,11124,1120489,5529888,757074,72969,9956648,15007343,82079636,4670976,668225,1282963,5939484,6071774,88588758,10190213,5259250,883125,106836,49267,271687,65296094,1797860,1576665,4585874,24107863,28956,108419,65068,57670,81471834,159600,10760136,13824463,10601009,744768,4225710,9719932,7122508,8143564,4483804,9976062,311058,246065161,84655,1189172906,77891220,7473052,61016804,21504162,30399572,127469543,94161,2868380,6508271,41943504,5450776,24457492,100743,48754657,2595628,1825632,17304513,6477211,4143101,2204708,3535547,3786764,5477038,36422,1924886,503302,5767159,21420952,573003,3694121,3133318,5140,15879252,661807,2077328,15032400,30539,31968361,1303717,3281634,408333,3027959,394999,113724226,28728607,22948858,256275,15801752,250716,165822569,16653734,38486,4691849,29391883,9322,553159,5666301,4290347,6459058,29248943,187342721,38441588,3460462,10760305,6187591,20956,1596677,1849257,7310555,67182,30615,21904551,101833938,3706690,142525588,11370425,26131703,5888,50314,89188,49004031,12643799,7700,2000092,5363669,31817,5246787,9925640,46754784,161557,33557327,9088728,22517750,7850100,7367,1227505,66720153,7627200,44819,105916,6771993,179506,10629186,1115424,78785548,10544,23174265,4997503,45590856,144688,32560222,62698362,45134707,311591917,16751455,3308535,28128600,103869,27635743,30391,90549390,105784,2147585,15398,507160,193161,1370424,24133492,13424596,12084304
2012,107635,89018,5314317,30419928,37367226,9493600,3002859,2970495,85082,18056072,54947,42192494,22015576,8219743,15423,1248348,287733,2098018,69080,10438353,316182,161083804,327719,3879296,10290003,54584650,9598787,9643566,584578,199321413,716896,7037935,408786,10557259,34300083,14952665,10975648,21481334,4366266,73599190,1343239923,17067369,52560,20129878,737284,45239079,51395,4636348,5057208,11075244,523568,10777,1138071,5543453,774389,73126,10088598,15223680,83688164,4722028,685991,1274709,6086495,6090646,91195675,10177300,5262930,890057,106487,49483,274512,65630692,1840454,1608321,4570934,24652402,29034,109011,65345,57695,81305856,159914,10767827,14099032,10884958,741908,4332801,9801664,7153519,8296693,4480043,9958453,313183,248645008,85421,1205073612,78868711,7590758,61261254,21952093,31129225,127368088,94949,2889187,6508887,43013341,5496737,24589122,101998,48860500,2646314,1836529,17522010,6586266,4140289,2191580,3525761,3887886,5483088,36713,1930493,509074,5613380,22005222,578025,3656843,3179997,5164,16323044,657394,2082370,15494466,30510,32309239,1313095,3359185,409836,3090150,394451,114975406,29179952,23515934,260166,16344687,256155,170123740,16730632,39088,4707270,29890686,9378,560157,5727707,4327944,6541591,29549517,190291129,38415284,3510045,10781459,6310129,21032,1628603,1951591,7276604,68480,30959,21848504,103775002,3690923,142517670,11689696,26534504,5831,50726,90024,48810427,12969606,7728,1996617,5485998,32140,5353494,10085638,47042984,162178,34206710,9103788,22530746,7925517,7332,1226383,67091089,7768385,46335,106146,6961049,183176,10732900,1143667,79749461,10619,23234936,5054828,46912768,145834,33640833,63047162,44854065,313847465,17275115,3316328,28394180,103537,28047938,31148,91519289,105275,2165828,15453,522928,194320,1386914,24771809,13817479,12619600
2013,109153,90156,5473972,31108077,38087812,9590159,3011405,2974184,85293,18565269,54719,42610981,22262501,8221646,15754,1281332,288725,2127825,69467,10444268,319031,163654860,334297,3875723,10461053,55167330,9877292,9625888,597248,201009622,725296,6981642,415717,10888321,34568211,15205539,11193452,21675648,4492689,75507308,1349585838,17216945,53737,20549221,752288,45745783,51170,4695942,5166510,11061886,531046,10447,1155403,5556452,792198,73286,10219630,15439429,85294388,4775982,704001,1266375,6233682,6108590,93877025,10162921,5266114,896758,106104,49709,277293,65951611,1883051,1640286,4555911,25199609,29111,109590,65605,57714,81147265,160378,10772967,14373472,11176026,739903,4440127,9893934,7182724,8448465,4475611,9939470,315281,251160124,86159,1220800359,79853900,7707042,61482297,22400835,31858481,127253075,95732,2909714,6482081,44037656,5548042,24720407,103248,48955203,2695316,1847708,17736896,6695166,4131583,2178443,3515858,3989703,5488339,37009,1936181,514862,6002347,22599098,583003,3619925,3226516,5189,16777547,653474,2087171,15968882,30500,32649130,1322238,3437610,411277,3154134,393988,116220947,29628392,24096669,264022,16899327,261565,174507539,16805037,39689,4722701,30430267,9434,566846,5788531,4365113,6623252,29849303,193238868,38383809,3559408,10799270,6431902,21108,1660870,2042444,7243007,69747,31264,21790479,105720644,3674209,142500482,12012589,26939583,5774,51134,90846,48601098,13300410,7754,1992690,5612685,32448,5460302,10251568,47370542,162781,34847910,9119423,22457336,7996026,7298,1225225,67448120,7910041,47754,106322,7154237,186817,10835873,1172390,80694485,10698,23299716,5113040,48261942,146836,34758809,63395574,44573205,316668567,17812961,3324460,28661637,103220,28459085,31912,92477857,104737,2182852,15507,538811,195476,1403362,25408288,14222233,13182908
2014,110663,91295,5628805,31822848,38813722,9686210,3020209,2978749,85458,19088106,54517,43024374,22507617,8223062,16086,1314089,289680,2155784,69839,10449361,321834,166280712,340844,3871643,10631486,55746253,10160556,9608058,609883,202656788,733643,6924716,422675,11227049,34834841,15458332,11412107,21866445,4622422,77433744,1355692576,17363894,54914,20968598,766865,46245297,51483,4755234,5277959,11047251,538535,10134,1172458,5569077,810179,73449,10349741,15654411,86895099,4832765,722254,1257921,6380803,6125512,96633458,10147013,5268799,903207,105681,49947,280026,66259012,1925527,1672597,4540636,25758108,29185,110152,65849,57728,80996685,161001,10775557,14647083,11474383,738799,4547431,9996731,7210050,8598561,4470534,9919128,317351,253609643,86866,1236344631,80840713,7821850,61680122,22848945,32585692,127103388,96513,2930050,6528061,45010056,5604212,24851627,104488,49039986,2742711,1859203,17948816,6803699,4136895,2165165,3505738,4092310,5492677,37313,1942008,520672,6244174,23201926,587914,3583288,3272555,5215,17241754,650036,2091719,16455903,30508,32987206,1331155,3516806,412655,3219775,393595,117459365,30073353,24692144,267840,17466172,266937,178975125,16877351,40289,4738261,30986975,9488,573311,5848641,4401916,6703860,30147935,196174380,38346279,3608431,10813834,6552730,21186,1693398,2123160,7209764,70983,31530,21729871,107668231,3656529,142470272,12337138,27345986,5716,51538,91650,48375645,13635927,7776,1988292,5743725,32742,5567301,10428043,47737941,163362,35482233,9135785,22597531,8061516,7267,1223916,67790617,8051512,49070,106440,7351374,190428,10937521,1201542,81619392,10782,23359928,5171943,49639138,147695,35918915,63742977,44291413,319510849,18365123,3332972,28929716,102918,28868486,32680,93421835,104170,2198406,15561,554795,196628,1419623,26040797,14638505,13771721
2015,112162,92436,5779760,32564342,39542166,9780780,3029278,2983949,85580,19625353,54343,43431886,22751014,8224038,16418,1346613,290604,2182719,70196,10453761,324597,168957745,347369,3867055,10800882,56320206,10448647,9589689,622469,204259812,741919,6867134,429646,11574246,35099836,15708756,11631456,22053488,4754653,79375136,1361512535,17508260,56092,21387301,780971,46736728,52344,4814144,5391539,11031433,545993,9838,1189197,5581503,828324,73607,10478756,15868396,88487396,4892305,740743,1249312,6527689,6141350,99465819,10129510,5270966,909389,105216,50196,282703,66553766,1967709,1705336,4524962,26327649,29258,110694,66080,57733,80854408,161785,10775643,14918999,11780162,738605,4654421,10110019,7235426,8746673,4464844,9897541,319395,255993674,87545,1251695584,81824270,7935149,61855120,23295302,33309836,126919659,97294,2950210,6623279,45925301,5664939,24983205,105711,49115196,2788534,1870981,18157122,6911544,4151234,2151638,3495316,4195666,5495998,37624,1947701,526510,6411776,23812681,592731,3546847,3318100,5241,17715075,647073,2096015,16955536,30535,33322699,1339827,3596702,413965,3286936,393253,118689157,30513848,25303113,271615,18045729,272264,183528798,16947904,40888,4754045,31551305,9540,579633,5907881,4438393,6783272,30444999,199085847,38301885,3657024,10825309,6672429,21265,1726170,2194817,7176794,72191,31754,21666350,109615913,3637832,142423773,12661733,27752316,5657,51936,92430,48286277,13975834,7795,1983412,5879098,33020,5674472,10616380,48146134,163922,36108853,9152946,22878524,8121830,7237,1222363,68118743,8191958,50280,106501,7552318,194006,11037225,1231116,82523053,10869,23415126,5231422,51045882,148406,37101745,64088222,44008507,322370739,18931686,3341893,29199942,102627,29275460,33454,94348835,103574,2212307,15613,570866,197773,1435613,26667204,15066266,14229541
2016,113648,93581,5927482,33332025,40263711,9872765,3038594,2989664,85660,20172332,54194,43833328,22992654,8224526,16752,1378904,291495,2209208,70537,10457482,327316,171696855,353858,3861912,10969649,56890418,10741458,9570376,635027,205823665,750125,6808847,436620,11929740,35362905,15957223,11852462,22235000,4889090,81331050,1366993918,17650114,57268,21805476,794678,47220856,53467,4872543,5507257,11014425,553432,9556,1205575,5593785,846687,73757,10606865,16080778,90067793,4952473,759451,1240506,6674489,6156670,102374044,10110255,5272545,915303,104719,50456,285321,66836154,2009648,1738541,4508804,26908262,29328,111219,66297,57728,80722792,162742,10773253,15189958,12093349,739438,4760979,10228410,7258697,8893259,4458533,9874784,321410,258316051,88195,1266883598,82801633,8046902,62007540,23740424,34031600,126702133,98069,2970340,6743610,46790758,5727553,25115311,106925,49180776,2832776,1883018,18360353,7019073,4169664,2137748,3484499,4299944,5498183,37937,1953070,532378,6541948,24430325,597425,3510485,3363204,5267,18197067,644578,2100025,17467108,30581,33655786,1348242,3677293,415196,3355262,392960,119908860,30949962,25930150,275355,18638600,277554,188172262,17016967,41486,4770085,32111345,9591,585824,5966798,4474549,6862812,30741062,201995540,38249653,3705246,10833816,6791317,21347,1759159,2258283,7143921,73376,31949,21599736,111563330,3618087,142355415,12988423,28160273,5595,52329,93186,48339286,14320055,7813,1978029,6018888,33285,5781728,10817354,48563476,164464,36729501,9170802,23229108,8179294,7209,1220479,68433236,8330946,51430,106513,7756937,197541,11134588,1261072,83407067,10959,23464787,5291317,52482726,149035,38319241,64430428,43723905,325245069,19512533,3351016,29473614,102350,29680303,34232,95261021,102951,2224786,15664,587020,198926,1451428,27289155,15510711,14546961
